[14:58:41] INFO — Fetching document list from B3 API...
[14:58:43] INFO — Total documents: 227,080
[15:05:41] INFO —   Fetched 25,800 / 227,080
[15:05:43] INFO —   Fetched 25,900 / 227,080
[15:05:45] INFO —   Fetched 26,000 / 227,080
[15:05:46] INFO —   Fetched 26,100 / 227,080
[15:05:48] INFO —   Fetched 26,200 / 227,080
[15:05:50] INFO —   Fetched 26,300 / 227,080
[15:05:51] INFO —   Fetched 26,400 / 227,080
[15:05:53] INFO —   Fetched 26,500 / 227,080
[15:05:55] INFO —   Fetched 26,600 / 227,080
[15:05:56] INFO —   Fetched 26,700 / 227,080
[15:06:01] INFO —   Fetched 26,800 / 227,080
[15:06:02] INFO —   Fetched 26,900 / 227,080
[15:06:04] INFO —   Fetched 27,000 / 227,080
[15:06:06] INFO —   Fetched 27,100 / 227,080
[15:06:07] INFO —   Fetched 27,200 / 227,080
[15:06:09] INFO —   Fetched 27,300 / 227,080
[15:06:11] INFO —   Fetched 27,400 / 227,080
[15:06:12] INFO —   Fetched 27,500 / 227,080
[15:06:14] INFO —   Fetched 27,600 / 227,080
[15:06:16] INFO —   Fetched 27,700 / 227,080
[15:06:17] INFO —   Fetched 27,800 / 227,080
[15:06:19] INFO —   Fetched 27,900 / 227,080
[15:06:21] INFO —   Fetched 28,000 / 227,080
[15:06:22] INFO —   Fetched 28,100 / 227,080
[15:06:24] INFO —   Fetched 28,200 / 227,080
[15:06:26] INFO —   Fetched 28,300 / 227,080
[15:06:27] INFO —   Fetched 28,400 / 227,080
[15:06:29] INFO —   Fetched 28,500 / 227,080
[15:06:31] INFO —   Fetched 28,600 / 227,080
[15:06:32] INFO —   Fetched 28,700 / 227,080
[15:06:34] INFO —   Fetched 28,800 / 227,080
[15:06:36] INFO —   Fetched 28,900 / 227,080
[15:06:38] INFO —   Fetched 29,000 / 227,080
[15:06:39] INFO —   Fetched 29,100 / 227,080
[15:06:41] INFO —   Fetched 29,200 / 227,080
[15:06:43] INFO —   Fetched 29,300 / 227,080
[15:06:44] INFO —   Fetched 29,400 / 227,080
[15:06:46] INFO —   Fetched 29,500 / 227,080
[15:06:51] WARNING —   Page error at offset 29500 attempt 1/3: Expecting value: line 1 column 1 (char 0)
[15:06:57] INFO —   Fetched 29,600 / 227,080
[15:06:59] INFO —   Fetched 29,700 / 227,080
[15:07:00] INFO —   Fetched 29,800 / 227,080
[15:07:02] INFO —   Fetched 29,900 / 227,080
[15:07:04] INFO —   Fetched 30,000 / 227,080
[15:07:05] INFO —   Fetched 30,100 / 227,080
[15:07:07] INFO —   Fetched 30,200 / 227,080
[15:07:09] INFO —   Fetched 30,300 / 227,080
[15:07:11] INFO —   Fetched 30,400 / 227,080
[15:07:12] INFO —   Fetched 30,500 / 227,080
[15:07:14] INFO —   Fetched 30,600 / 227,080
[15:07:16] INFO —   Fetched 30,700 / 227,080
[15:07:17] INFO —   Fetched 30,800 / 227,080
[15:07:19] INFO —   Fetched 30,900 / 227,080
[15:07:21] INFO —   Fetched 31,000 / 227,080
[15:07:22] INFO —   Fetched 31,100 / 227,080
[15:07:24] INFO —   Fetched 31,200 / 227,080
[15:07:26] INFO —   Fetched 31,300 / 227,080
[15:07:27] INFO —   Fetched 31,400 / 227,080
[15:07:29] INFO —   Fetched 31,500 / 227,080
[15:07:31] INFO —   Fetched 31,600 / 227,080
[15:07:33] INFO —   Fetched 31,700 / 227,080
[15:07:34] INFO —   Fetched 31,800 / 227,080
[15:07:36] INFO —   Fetched 31,900 / 227,080
[15:07:38] INFO —   Fetched 32,000 / 227,080
[15:07:39] INFO —   Fetched 32,100 / 227,080
[15:07:41] INFO —   Fetched 32,200 / 227,080
[15:07:43] INFO —   Fetched 32,300 / 227,080
[15:07:44] INFO —   Fetched 32,400 / 227,080
[15:07:46] INFO —   Fetched 32,500 / 227,080
[15:07:48] INFO —   Fetched 32,600 / 227,080
[15:07:50] INFO —   Fetched 32,700 / 227,080
[15:07:51] INFO —   Fetched 32,800 / 227,080
[15:07:53] INFO —   Fetched 32,900 / 227,080
[15:07:55] INFO —   Fetched 33,000 / 227,080
[15:07:56] INFO —   Fetched 33,100 / 227,080
[15:07:58] INFO —   Fetched 33,200 / 227,080
[15:08:00] INFO —   Fetched 33,300 / 227,080
[15:08:02] INFO —   Fetched 33,400 / 227,080
[15:08:03] INFO —   Fetched 33,500 / 227,080
[15:08:05] INFO —   Fetched 33,600 / 227,080
[15:08:07] INFO —   Fetched 33,700 / 227,080
[15:08:08] INFO —   Fetched 33,800 / 227,080
[15:08:10] INFO —   Fetched 33,900 / 227,080
[15:08:12] INFO —   Fetched 34,000 / 227,080
[15:08:13] INFO —   Fetched 34,100 / 227,080
[15:08:15] INFO —   Fetched 34,200 / 227,080
[15:08:17] INFO —   Fetched 34,300 / 227,080
[15:08:18] INFO —   Fetched 34,400 / 227,080
[15:08:20] INFO —   Fetched 34,500 / 227,080
[15:08:22] INFO —   Fetched 34,600 / 227,080
[15:08:24] INFO —   Fetched 34,700 / 227,080
[15:08:25] INFO —   Fetched 34,800 / 227,080
[15:08:27] INFO —   Fetched 34,900 / 227,080
[15:08:32] INFO —   Fetched 35,000 / 227,080
[15:08:34] INFO —   Fetched 35,100 / 227,080
[15:08:36] INFO —   Fetched 35,200 / 227,080
[15:08:37] INFO —   Fetched 35,300 / 227,080
[15:08:41] INFO —   Fetched 35,400 / 227,080
[15:08:42] INFO —   Fetched 35,500 / 227,080
[15:08:44] INFO —   Fetched 35,600 / 227,080
[15:08:46] INFO —   Fetched 35,700 / 227,080
[15:08:47] INFO —   Fetched 35,800 / 227,080
[15:08:49] INFO —   Fetched 35,900 / 227,080
[15:08:51] INFO —   Fetched 36,000 / 227,080
[15:08:53] INFO —   Fetched 36,100 / 227,080
[15:08:54] INFO —   Fetched 36,200 / 227,080
[15:08:56] INFO —   Fetched 36,300 / 227,080
[15:08:58] INFO —   Fetched 36,400 / 227,080
[15:09:00] INFO —   Fetched 36,500 / 227,080
[15:09:01] INFO —   Fetched 36,600 / 227,080
[15:09:03] INFO —   Fetched 36,700 / 227,080
[15:09:05] INFO —   Fetched 36,800 / 227,080
[15:09:07] INFO —   Fetched 36,900 / 227,080
[15:09:08] INFO —   Fetched 37,000 / 227,080
[15:09:10] INFO —   Fetched 37,100 / 227,080
[15:09:12] INFO —   Fetched 37,200 / 227,080
[15:09:13] INFO —   Fetched 37,300 / 227,080
[15:09:16] INFO —   Fetched 37,400 / 227,080
[15:09:17] INFO —   Fetched 37,500 / 227,080
[15:09:19] INFO —   Fetched 37,600 / 227,080
[15:09:21] INFO —   Fetched 37,700 / 227,080
[15:09:23] INFO —   Fetched 37,800 / 227,080
[15:09:24] INFO —   Fetched 37,900 / 227,080
[15:09:26] INFO —   Fetched 38,000 / 227,080
[15:09:29] INFO —   Fetched 38,100 / 227,080
[15:09:31] INFO —   Fetched 38,200 / 227,080
[15:09:32] INFO —   Fetched 38,300 / 227,080
[15:09:34] INFO —   Fetched 38,400 / 227,080
[15:09:36] INFO —   Fetched 38,500 / 227,080
[15:09:37] INFO —   Fetched 38,600 / 227,080
[15:09:39] INFO —   Fetched 38,700 / 227,080
[15:09:41] INFO —   Fetched 38,800 / 227,080
[15:09:42] INFO —   Fetched 38,900 / 227,080
[15:09:44] INFO —   Fetched 39,000 / 227,080
[15:09:46] INFO —   Fetched 39,100 / 227,080
[15:09:48] INFO —   Fetched 39,200 / 227,080
[15:09:49] INFO —   Fetched 39,300 / 227,080
[15:09:51] INFO —   Fetched 39,400 / 227,080
[15:09:53] INFO —   Fetched 39,500 / 227,080
[15:09:54] INFO —   Fetched 39,600 / 227,080
[15:09:56] INFO —   Fetched 39,700 / 227,080
[15:09:58] INFO —   Fetched 39,800 / 227,080
[15:10:00] INFO —   Fetched 39,900 / 227,080
[15:10:01] INFO —   Fetched 40,000 / 227,080
[15:10:03] INFO —   Fetched 40,100 / 227,080
[15:10:05] INFO —   Fetched 40,200 / 227,080
[15:10:06] INFO —   Fetched 40,300 / 227,080
[15:10:08] INFO —   Fetched 40,400 / 227,080
[15:10:10] INFO —   Fetched 40,500 / 227,080
[15:10:12] INFO —   Fetched 40,600 / 227,080
[15:10:13] INFO —   Fetched 40,700 / 227,080
[15:10:15] INFO —   Fetched 40,800 / 227,080
[15:10:17] INFO —   Fetched 40,900 / 227,080
[15:10:18] INFO —   Fetched 41,000 / 227,080
[15:10:20] INFO —   Fetched 41,100 / 227,080
[15:10:22] INFO —   Fetched 41,200 / 227,080
[15:10:24] INFO —   Fetched 41,300 / 227,080
[15:10:25] INFO —   Fetched 41,400 / 227,080
[15:10:27] INFO —   Fetched 41,500 / 227,080
[15:10:29] INFO —   Fetched 41,600 / 227,080
[15:10:31] INFO —   Fetched 41,700 / 227,080
[15:10:32] INFO —   Fetched 41,800 / 227,080
[15:10:34] INFO —   Fetched 41,900 / 227,080
[15:10:38] INFO —   Fetched 42,000 / 227,080
[15:10:40] INFO —   Fetched 42,100 / 227,080
[15:10:41] INFO —   Fetched 42,200 / 227,080
[15:10:43] INFO —   Fetched 42,300 / 227,080
[15:10:45] INFO —   Fetched 42,400 / 227,080
[15:10:47] INFO —   Fetched 42,500 / 227,080
[15:10:48] INFO —   Fetched 42,600 / 227,080
[15:10:50] INFO —   Fetched 42,700 / 227,080
[15:10:52] INFO —   Fetched 42,800 / 227,080
[15:10:53] INFO —   Fetched 42,900 / 227,080
[15:10:55] INFO —   Fetched 43,000 / 227,080
[15:10:57] INFO —   Fetched 43,100 / 227,080
[15:10:59] INFO —   Fetched 43,200 / 227,080
[15:11:00] INFO —   Fetched 43,300 / 227,080
[15:11:02] INFO —   Fetched 43,400 / 227,080
[15:11:04] INFO —   Fetched 43,500 / 227,080
[15:11:06] INFO —   Fetched 43,600 / 227,080
[15:11:07] INFO —   Fetched 43,700 / 227,080
[15:11:09] INFO —   Fetched 43,800 / 227,080
[15:11:11] INFO —   Fetched 43,900 / 227,080
[15:11:13] INFO —   Fetched 44,000 / 227,080
[15:11:14] INFO —   Fetched 44,100 / 227,080
[15:11:16] INFO —   Fetched 44,200 / 227,080
[15:11:18] INFO —   Fetched 44,300 / 227,080
[15:11:19] INFO —   Fetched 44,400 / 227,080
[15:11:21] INFO —   Fetched 44,500 / 227,080
[15:11:23] INFO —   Fetched 44,600 / 227,080
[15:11:25] INFO —   Fetched 44,700 / 227,080
[15:11:26] INFO —   Fetched 44,800 / 227,080
[15:11:28] INFO —   Fetched 44,900 / 227,080
[15:11:30] INFO —   Fetched 45,000 / 227,080
[15:11:32] INFO —   Fetched 45,100 / 227,080
[15:11:33] INFO —   Fetched 45,200 / 227,080
[15:11:35] INFO —   Fetched 45,300 / 227,080
[15:11:37] INFO —   Fetched 45,400 / 227,080
[15:11:38] INFO —   Fetched 45,500 / 227,080
[15:11:40] INFO —   Fetched 45,600 / 227,080
[15:11:42] INFO —   Fetched 45,700 / 227,080
[15:11:44] INFO —   Fetched 45,800 / 227,080
[15:11:45] INFO —   Fetched 45,900 / 227,080
[15:11:47] INFO —   Fetched 46,000 / 227,080
[15:11:49] INFO —   Fetched 46,100 / 227,080
[15:11:50] INFO —   Fetched 46,200 / 227,080
[15:11:52] INFO —   Fetched 46,300 / 227,080
[15:11:54] INFO —   Fetched 46,400 / 227,080
[15:11:56] INFO —   Fetched 46,500 / 227,080
[15:11:57] INFO —   Fetched 46,600 / 227,080
[15:11:59] INFO —   Fetched 46,700 / 227,080
[15:12:01] INFO —   Fetched 46,800 / 227,080
[15:12:03] INFO —   Fetched 46,900 / 227,080
[15:12:04] INFO —   Fetched 47,000 / 227,080
[15:12:06] INFO —   Fetched 47,100 / 227,080
[15:12:08] INFO —   Fetched 47,200 / 227,080
[15:12:10] INFO —   Fetched 47,300 / 227,080
[15:12:11] INFO —   Fetched 47,400 / 227,080
[15:12:13] INFO —   Fetched 47,500 / 227,080
[15:12:15] INFO —   Fetched 47,600 / 227,080
[15:12:16] INFO —   Fetched 47,700 / 227,080
[15:12:18] INFO —   Fetched 47,800 / 227,080
[15:12:20] INFO —   Fetched 47,900 / 227,080
[15:12:22] INFO —   Fetched 48,000 / 227,080
[15:12:23] INFO —   Fetched 48,100 / 227,080
[15:12:25] INFO —   Fetched 48,200 / 227,080
